LABEL=rate,SRC_LABEL=user,DST_LABEL=movie
id:INT32:SRC_ID,SKIP,id:INT32:DST_ID,stars:INT8
2,William,1768,1
3,James,615,3
7,Joseph,82,3
7,Joseph,532,3
8,Thomas,698,3
10,Robert,1693,3
11,Edward,615,1
18,David,1,3
18,David,28,3
18,David,1596,5
18,David,2008,5
18,David,2055,5
18,David,3252,5
18,David,3753,5
18,David,3915,5
19,Louis,1096,3
21,Charlie,130,1
22,Clarence,710,2
23,Richard,68,4
25,Daniel,737,3
27,Will,641,4
33,Frederick,781,3
34,Willie,698,3
36,Sam,681,5
38,Herbert,82,1
39,Jacob,68,5
39,Jacob,641,2
40,Tom,532,5
44,Howard,698,1
45,Martin,3106,5
46,Michael,698,1
51,Harvey,517,3
51,Harvey,2498,3
52,Earl,82,1
52,Earl,598,2
53,Eugene,517,4
54,Ralph,737,4
55,Ed,737,5
57,Edwin,770,3
59,Charley,68,4
60,Paul,770,5
62,Isaac,496,5
66,Ira,471,3
67,Patrick,1856,2
68,Guy,1366,1
69,Oliver,130,4
69,Oliver,457,2
74,August,130,1
76,Homer,457,3
82,Allen,471,3
83,Archie,130,2
94,Julius,130,1
96,Sidney,770,2
102,Dave,750,4
104,Eddie,68,2
104,Eddie,68,1
109,Wesley,641,5
111,Garfield,805,4
112,Franklin,681,1
116,Harold,3753,1
117,Matthew,496,3
117,Matthew,532,1
119,Moses,564,3
121,Lester,564,5
121,Lester,710,1
121,Lester,781,5
126,Fredrick,681,4
131,Aaron,496,2
136,Victor,471,5
142,Jake,598,1
151,Claud,1366,4
153,Sylvester,471,2
158,Willard,710,3
159,Irvin,496,3
159,Irvin,564,3
159,Irvin,781,1
161,Jose,564,4
161,Jose,615,5
170,Wiley,82,2
171,Anton,471,3
171,Anton,781,5
175,Augustus,1097,4
177,Eli,598,4
178,Nicholas,517,4
183,Timothy,641,5
183,Timothy,797,4
186,Curtis,681,1
187,Edmund,681,4
187,Edmund,1293,4
190,Harrison,698,5
191,Stanley,496,3
192,Columbus,68,2
196,Russell,615,5
196,Russell,1768,3
197,Pearl,615,3
199,Arch,737,5
200,Asa,82,4
201,Clayton,641,5
202,Enoch,130,2
202,Enoch,737,3
204,Mathew,2498,5
204,Mathew,2767,1
210,Ellis,3753,5
215,Wade,457,4
218,Rudolph,471,3
218,Rudolph,598,2
218,Rudolph,770,5
218,Rudolph,2398,5
219,Sherman,457,3
219,Sherman,532,3
219,Sherman,770,2
219,Sherman,1596,4
219,Sherman,2008,4
219,Sherman,2055,4
219,Sherman,3252,4
219,Sherman,3753,4
219,Sherman,3915,4
220,Austin,737,2
221,Bill,564,3
221,Bill,710,2
222,Chas,750,2
223,Lonnie,615,1
224,Monroe,457,2
224,Monroe,3252,1
225,Byron,681,4
227,Emery,532,1
227,Emery,615,5
228,Grant,82,3
230,Max,1097,3
231,Mose,598,2
238,Gustave,698,3
240,Lorenzo,517,3
241,Bruce,457,5
244,Bob,698,1
244,Bob,750,4
244,Bob,1550,4
246,Donald,737,3
248,Cecil,797,2
250,Delbert,750,2
