LABEL=keyword
id:INT32:ID,name:STRING
20,saving the world
21,artificial intelligence
22,man versus machine
23,prophecy
24,self sacrifice
25,insurgence
26,messias
27,virtual reality
52,computer
53,future
54,underground world
55,hero
56,world religion
57,faith
58,kung fu
59,key
60,precognition
61,rave
62,computer virus
63,dream
64,dying and death
65,plato
66,mission
67,martial arts
70,flying
71,super computer
72,fight
73,killer robot
74,philosophy
75,rettung
76,subway
77,temple
78,machine town
79,truth
80,fortuneteller
81,sunlight
111,transporter
112,brothel
113,boxer
114,massage
115,stolen money
116,crime boss
117,dance contest
118,junkyard
119,kamikaze
120,ambiguous ending
121,briefcase
122,redemption
123,heirloom
124,pulp fiction
125,reference to al green
126,theft
147,19th century
148,clone
149,20th century
150,1850s
151,actor playing multiple roles
152,1930s
153,1970s
154,ensemble cast
155,actress playing multiple roles
156,year 2144
157,year 1931
158,year 1975
159,restaurant
160,violence
161,diner
162,gangster
163,coffee
164,torso cut in half
165,chainsaw
166,male sitting on a toilet
167,bondage
168,syringe
169,hit by a car
170,shop owner
171,silencer
172,homage
173,voyeurism
174,shouting
175,corruption
176,blockbuster
177,shootout
178,voyeur
179,nurse
180,silenced machine gun
181,brushing teeth
182,shot multiple times
183,murder by gunshot
184,famous line
185,toaster
186,muzzle
187,running for your life
188,knocked out with gun butt
189,deception
190,head blown off
191,telling a joke
192,forming a square in the air
193,tongue piercing
194,basement
195,bible quote
196,snorting cocaine
197,talking to one's self in a mirror
198,mullet
199,controversy
200,movie reference
201,n word
202,garden hose
203,father son relationship
204,held at gunpoint
205,zentai
206,implied cunnilingus
207,blonde
208,interruption
209,male rape
210,anal rape
211,machine gun
212,cult director
213,chopper
214,joke
215,blowing a kiss
216,hamburger
217,shot in the leg
218,actor director
219,pack of money
220,bar
221,on the run
222,person in car trunk
223,interlinked stories
224,drug dealer
225,man wearing a pony tail
226,actor director writer
227,rape
228,impersonating buddy holly
229,pot smoking
230,pawnshop
231,shot in the face
232,bullet hole
233,motorcycle
234,uniform
235,gay rape
236,panties
237,covered in blood
238,gay sex
239,strip club
240,armed robbery
241,loyalty
242,afro
243,two man army
244,los angeles california
245,lifting someone into the air
246,restroom
247,drug use
248,organized crime
249,problem solver
250,cult film
251,murder
252,torture
253,falling asleep
254,marijuana joint
255,shot in the head
256,rescue
257,machismo
258,male in shower
259,convertible
260,director cameo
261,gun held to head
262,foot massage
263,military dress uniform
264,bloody mouth
265,cocaine
266,off screen murder
267,wristwatch
268,number 666
269,gunshot wound
270,uzi
271,coming of age
272,blood stain
273,buddy
274,double cross
275,sprayed with water
276,blue panties
277,accidental shooting
278,bare feet
279,shot repeatedly
280,robbery
281,lingerie
282,multiple storyline
283,biblical passage
284,body piercing
285,car driving
286,shot to death
287,car crash
288,eeny meeny miny moe
289,phone booth
290,oral sex
291,mirror
292,cardiac injection
293,pump action shotgun
294,nipples visible through clothing
295,restaurant owner
296,extreme closeup
297,killed with a sword
298,shot in the forehead
299,neo noir
300,gore
301,code
302,flashback humor
303,girl in panties
304,freeze frame
305,milkshake
306,wrestler
307,sprite soda
308,f word
309,elevator
310,cleavage
311,white panties
312,drug
313,hit on the head
314,boxing
315,fool
316,interrogation
317,woman smoker
318,injection into the heart
319,fantasy sequence
320,directed by co star
321,fake blood
322,shot through a wall
323,impersonating a police officer
324,husband wife relationship
325,drug dealing
326,nonlinear timeline
327,corpse
328,watching tv
329,black suit clad killer
330,gold watch
331,assault
332,male nudity
333,no background score
334,telephone call
335,sex slave
336,shower
337,tuxedo
338,bound and gagged
339,impersonating mamie van doren
340,shot in the chest
341,hit in the face
342,joint
343,themed restaurant
344,drugs
345,claw hammer
346,black comedy
347,heroin
348,prologue
349,blood
350,flashback
351,pop tart
352,riding motorcycle
353,barefoot
354,adrenaline
355,chapterwise storytelling
356,anti hero
357,actress
358,singing
359,cult tv reference
360,moral ambiguity
361,tied to a chair
362,mexican standoff
363,two killers
364,intercom
365,drug snorting
366,taxi
367,impersonating marilyn monroe
368,near death experience
369,cocaine snorting
370,multiple time frames
371,blood on shirt
372,robber
373,blood spatter
374,upskirt
375,scantily clad female
376,piercing
377,talking while driving
378,multiple perspectives
379,homosexual rape
380,shot in the arm
381,rolling a joint
382,shot in the crotch
383,female bare feet
384,slot car racing
385,revenge
386,secret briefcase
387,celebrity impersonator
388,macguffin
389,male wearing an earring
390,apartment building
391,cup of coffee
392,humiliation
393,phonograph
394,caged human
395,nosebleed
396,two on a motorcycle
397,postmodern
398,reading book
399,number in character's name
400,secret code
401,bathroom
402,rapist
403,military officer
404,sexual reference
405,fixed fight
406,knocked out
407,vietnam veteran
408,mini dress
409,alarm
410,male with long hair
411,automatic weapon
412,trophy
413,katana
414,foot chase
415,wallet
416,katana sword
417,crime gone awry
418,racial slur
419,baseball bat
420,punched in the face
421,gold
422,blood on face
423,collision course
424,overdose
425,twist the dance
426,brutality
427,hitman
428,ball gag
429,chapter headings
430,drug addiction
431,gourmet
432,car accident
433,impersonating ed sullivan
434,slurping a drink with a straw
435,gun held to one's head
436,some scenes in black and white
437,cunnilingus
438,gun
439,drug overdose
440,head wound
441,killed with a gun
442,leather mask
443,bullet wound
444,african american
445,accidental killing
446,motel
447,abdomen slashed
448,watching the three stooges
449,finger gun
450,boyfriend girlfriend relationship
451,surrender
452,shotgun
453,zippo lighter
454,long take
455,divine intervention
467,1960s
468,1940s
469,1950s
470,police brutality
493,love at first sight
494,loss of father
511,blut
512,italo-american
513,cuba
514,praise
527,bounty hunter
528,refugee
529,1860s
530,gallows
531,army
552,chaos
553,gotham city
554,joker
555,sadism
556,crime fighter
557,superhero
558,vigilante
559,batman
560,based on comic
561,secret identity
562,tragic hero
563,super villain
581,burglar
582,mayor
583,hostage drama
584,time bomb
585,legend
586,cover up
587,villainess
588,terrorism
589,destruction
590,fictional city
591,cat burglar
592,statue
593,flood
594,hostage killed
595,woman kills man
596,football field
597,criminal underworld
612,concentration camp
613,factory
614,defense industry
629,jurors
630,court case
631,court
632,judge
633,class
634,group
635,sultriness
636,heat
637,innocence
638,death penalty
639,father murder
640,puertorican
670,elves
671,orcs
672,middle-earth (tolkien)
673,suspicion
674,bravery
675,honor
676,crushed to death
677,robe
678,troll
679,sword and sorcery
680,ghosts
691,bare knuckle boxing
692,support group
693,dual identity
694,nihilism
695,support
696,rage and hate
697,insomnia
701,dwarves
702,hobbits
703,mountains
704,mirrow
705,fireworks
706,castle
707,volcano
708,password
709,death of a friend
729,space colony
730,rebellion
731,rebel
732,space opera
733,asteroid
734,jedi
735,snow storm
736,spaceship
747,loss of lover
748,sleep
749,defense mechanism
765,individual
766,psychater
767,self-destruction
768,wheelchair
769,lunatic asylum
794,seventies
795,irish-american
796,drug traffic
799,explosive
800,fort
801,attack
802,guide
803,wizards
804,cave
816,galaxy
817,hermit
818,death star
819,lightsaber
820,empire
821,jedi knight
822,fourth part
823,planet
824,smuggler
825,the force
826,droid
827,tractor beam
828,stormtrooper
829,totalitarianism
830,love
831,bus stop
832,running
833,bus
834,simple man
835,fishing
836,jumping into water
837,cornfield
838,stock footage
839,new york city
840,single mother
841,friendship
842,loss of mother
843,battle
844,girl with glasses
845,telling someone to shut up
846,u.s. president
847,character appears on a tv talk show
848,son
849,church
850,serendipity
851,assassination of president
852,prayer
853,handicap
854,chocolate
855,calling someone an idiot
856,leg brace
857,fainting
858,climbing a tree
859,medal of honor
860,swimming
861,splatter
862,feather
863,television news
864,kindness
865,nike
866,disabled veteran
867,grave
868,male hits a female
869,interracial friendship
870,washington d.c.
871,slow motion
872,man hits a woman
873,man with glasses
874,hippie
875,character appears on magazine cover
876,doctor
877,telling someone to run
878,balcony
879,mentally impaired
880,father
881,mother
882,attempted suicide
883,diving into water
884,bully
885,legless man
886,told in flashback
887,racism
888,drug addict
889,character repeats narrator's words
890,fictional biography
891,two word title
892,park bench
893,vietnam war veteran
894,journey
895,assembling a rifle
896,war hero
897,face slap
898,loss of friend
899,woman with glasses
900,loss of virginity
901,maid
902,amputee
903,death of friend
904,based on book
905,based on novel
906,title spoken by character
908,mafia
909,wedding
910,lawyer
911,patriarch
912,character repeating someone else's dialogue
913,bronx new york city
914,smashing a camera
915,horse killed
916,melancholy
917,father daughter relationship
918,paparazzi
919,beating
920,garrotting
921,corrupt lawyer
922,motion picture executive
923,professional hit
924,symbolism
925,famous score
926,strangulation
927,vengeance
928,open hydrant
929,heart attack
930,italian american
931,exploding car
932,revolving door
933,pistol
934,knife in hand
935,hotel
936,nudity
937,marriage
938,police corruption
939,tommy gun
940,mansion
941,sicily italy
942,police
943,film producer
944,gambling syndicate
945,betrayal
946,female underage nudity
947,world war two veteran
948,assassin
949,murder of son
950,thompson gun
951,domestic violence
952,shot in the eye
953,crime family
954,brother brother relationship
955,character depth
956,undertaker
957,mercilessness
958,shooting
959,ethnic slur
960,cop killer
961,italy
962,urination
963,attorney
964,cosa nostra
965,broken rule
966,female nudity
967,shot in the back
968,dartmouth college
969,husband hits wife
970,baptism
971,cat
972,subtitled scene
973,funeral
974,marital abuse
975,las vegas nevada
976,severed head
977,teacher
978,movie theater
979,vegetable garden
980,police officer shot in the neck
981,ambush
982,italian food
983,dysfunctional family
984,falling down stairs
985,horse
986,car bomb
987,police officer shot
988,elderly man
989,part of trilogy
990,gang war
991,el train
992,picture in newspaper
993,convicted felon
994,casino
995,assassination
996,first of series
997,mob summit
998,mob hit
999,cemetery
1000,village
1001,knife
1002,brother sister relationship
1003,catholic church
1004,double murder
1005,loss of son
1006,bare breasts
1007,severed horse's head
1008,criminal
1009,adopted son
1010,christmas
1011,death
1012,police officer killed
1013,police officer shot in the head
1014,tough guy
1015,hospital
1016,stable
1017,no opening credits
1018,manhattan new york city
1019,tollbooth
1020,extramarital affair
1021,radio city music hall manhattan new york city
1022,courtship
1023,film set
1024,catholic
1025,breasts
1026,widower
1027,death of wife
1028,bathtub
1029,loss of wife
1030,italian american cop
1031,garrote
1032,stabbed in the hand
1033,shot through the eye
1034,paraplegic
1035,fbi
1036,broken jaw
1037,movie studio
1038,corrupt cop
1039,epic
1040,assassination attempt
1041,loss of husband
1042,mob boss
1043,ex soldier
1044,family relationships
1045,corleone italy
1046,pregnant woman beaten
1047,singer
1048,sibling rivalry
1049,wedding reception
1050,magnus opus
1051,protective male
1052,mob violence
1053,war veteran
1054,traitor
1055,crooked cop
1056,character appears in newspaper
1057,power
1058,beaten with a belt
1059,orange peel
1060,revolver
1061,fugitive
1062,gang warfare
1063,rise to power
1064,fish
1065,death of title character
1066,shot in the throat
1067,ex convict
1068,telephone box
1069,statue of liberty new york city
1070,invalid
1071,protection racket
1078,teenage daughter
1079,sexy woman
1080,desperation
1081,car chase
1082,central intelligence agency
1083,bicycle
1084,femme fatale
1085,paris france
1086,dance lesson
1087,american abroad
1088,cia agent
1089,terminal illness
1090,father daughter dance
1091,singing in a car
1092,terminal cancer
1093,prom
1109,number in title
1110,second part
1111,based on comic book
1112,imax
1113,based on graphic novel
1114,3 dimensional
1115,prequel
1116,digit in title
1117,dark horse comics
1135,fbi agent
1136,new jersey
1137,con artist
1138,lesbian kiss
1139,telephone conversation
1140,umbrella
1141,painting
1142,luxury hotel
1143,reference to cosmopolitan magazine
1144,cheating husband
1145,hand on thigh
1146,u.s. congressman
1147,reference to richard nixon
1148,fire
1149,drunk wife
1150,long island new york
1151,angry woman
1152,wife meets mistress
1153,lens flare
1154,critically acclaimed
1155,vinyl record
1156,teasing
1157,adultery
1158,burlesque dancer
1159,execution
1160,box office hit
1161,pool party
1162,hair curlers
1163,entrapment
1164,microwave
1165,museum
1166,mobster
1167,mother son relationship
1168,stripper
1169,butt slap
1170,double identity
1171,adulterous husband
1172,burlesque theater
1173,arabic
1174,disguise
1175,fake british accent
1176,smoking
1177,scene before opening credits
1178,scheme
1179,reference to duke ellington
1180,lost friend
1181,manipulation
1182,unexpected kiss
1183,sitting on a toilet
1184,u.s. senator
1185,toilet stall
1186,english accent
1187,turning against friends
1188,breaking a window
1189,fraud
1190,rainy day
1191,expensive gift
1192,politician
1193,private jet
1194,video surveillance
1195,bilingualism
1196,forgery
1197,dry cleaners
1198,camden new jersey
1199,fake accent
1200,wire fraud
1201,fbi chief
1202,divorce
1203,drunk woman
1204,bribery
1205,side boob
1206,wives and girlfriends
1207,italian mafia
1208,female sitting on a toilet
1209,true identity revealed
1210,fbi investigation
1211,year 1978
1212,narrated by character
1213,young version of character
1214,reference to meyer lansky
1215,hotel suite
1216,sting operation
1217,new identity
1218,briefcase full of money
1219,public toilet
1220,blue balls
1221,reference to jimmy carter
1222,betrayal of husband
1223,phony english accent
1224,nightclub
1225,toilet
1226,bare chested male
1227,wire transfer
1228,bag over head
1229,women kissing
1230,scam
1231,written by director
1232,false identity
1233,nail polish
1234,atlantic city new jersey
1235,slow motion scene
1236,arrest
